gene,rho,pval
ENSG00000115289.11,0.49148874104522755,1.360801770788823e-27
ENSG00000103145.9,0.4914566591086544,1.3730802103002782e-27
ENSG00000105520.9,0.4914163473720293,1.3886636847365383e-27
ENSG00000085185.14,0.4912677708021266,1.447623608077964e-27
ENSG00000099949.17,0.49126761167171806,1.447688063740129e-27
ENSG00000105723.10,0.4910758233517213,1.5274697789467983e-27
ENSG00000106003.11,0.49102911912400565,1.5475469401163026e-27
ENSG00000101421.3,0.4908156873492608,1.6426662850826176e-27
ENSG00000119777.17,0.4907810446488321,1.658641096409292e-27
ENSG00000063176.14,0.4906854464067094,1.703525100039214e-27
ENSG00000007520.3,0.4905762764403411,1.7562504385330708e-27
ENSG00000109736.13,0.4905013222668689,1.793381170935971e-27
ENSG00000077235.16,0.4902308189401811,1.9339496033757102e-27
ENSG00000068438.13,0.4901208004384757,1.9941874615946038e-27
ENSG00000117877.9,0.49004218175551734,2.038365333728559e-27
ENSG00000102870.5,0.48998960074842746,2.06845025476348e-27
ENSG00000103507.12,0.48993549301400785,2.0998667791301614e-27
ENSG00000091947.8,0.48988690804411517,2.1284781434041187e-27
ENSG00000101150.16,0.4895102080871773,2.363783484610981e-27
ENSG00000072163.17,0.48917634672564003,2.5937035784406903e-27
ENSG00000004142.10,0.4891258120372008,2.630379289980399e-27
ENSG00000106628.9,0.48909107750473657,2.6558846824497423e-27
ENSG00000114859.13,0.4885701894680028,3.0690125003785728e-27
ENSG00000110881.10,0.4884620098748587,3.1624630561784998e-27
ENSG00000103549.20,0.48844709897119126,3.1755623396442853e-27
ENSG00000106636.6,0.48831462601589376,3.2943194605638224e-27
ENSG00000100445.15,0.48779183447442315,3.807356496967492e-27
ENSG00000086544.2,0.48748073956387383,4.149318102549058e-27
ENSG00000115685.13,0.4874129634564392,4.2277523496787866e-27
ENSG00000104852.13,0.4872679555470642,4.400516999385433e-27
ENSG00000076944.13,0.48725317191556394,4.418517513183486e-27
ENSG00000061273.16,0.48713367488674314,4.56671276710795e-27
ENSG00000110274.13,0.48688275907216,4.894056250620187e-27
ENSG00000105321.11,0.48685453275021384,4.9323006400767594e-27
ENSG00000011132.10,0.486765998963585,5.054182677945655e-27
ENSG00000115207.12,0.48671932552706876,5.119629796668251e-27
ENSG00000103510.18,0.4866489110293319,5.219955195531266e-27
ENSG00000006712.13,0.4865999984938574,5.290785805741074e-27
ENSG00000072506.11,0.486542919399927,5.374643858032306e-27
ENSG00000088247.14,0.4864808132192236,5.467379715248297e-27
ENSG00000033050.6,0.4863858016557181,5.612317089150782e-27
ENSG00000006704.9,0.4862709690407489,5.792565210368828e-27
